               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.017988,            0.016633,            0.002522,             0.98079,             0.98128,             0.99205,             0.83957,            0.010861,           0.0084904,           0.0010209,            0.002872,            0.002872,            0.002872
                  74,            0.017947,            0.016624,           0.0025077,             0.98097,             0.98188,             0.99211,             0.84029,            0.010842,           0.0084752,           0.0010149,            0.002773,            0.002773,            0.002773
                  75,            0.017889,             0.01651,           0.0024752,             0.98077,             0.98204,             0.99212,             0.84035,             0.01083,           0.0084633,           0.0010107,            0.002674,            0.002674,            0.002674
                  76,            0.017883,            0.016494,            0.002471,             0.98066,             0.98208,              0.9921,             0.84088,            0.010812,             0.00845,           0.0010055,            0.002575,            0.002575,            0.002575
                  77,            0.017788,            0.016491,           0.0024713,             0.98138,             0.98219,             0.99217,             0.84127,            0.010799,           0.0084395,          0.00099743,            0.002476,            0.002476,            0.002476
                  78,            0.017713,            0.016492,           0.0024658,             0.98134,             0.98219,             0.99218,              0.8415,            0.010775,           0.0084239,          0.00099154,            0.002377,            0.002377,            0.002377
                  79,            0.017703,            0.016414,           0.0024303,             0.98116,              0.9824,             0.99219,             0.84185,            0.010752,           0.0084097,          0.00098525,            0.002278,            0.002278,            0.002278
                  80,            0.017628,            0.016378,           0.0024188,             0.98136,             0.98251,             0.99225,              0.8423,            0.010728,           0.0083965,          0.00097898,            0.002179,            0.002179,            0.002179
                  81,            0.017596,            0.016307,           0.0023626,             0.98161,             0.98277,             0.99228,             0.84279,            0.010707,           0.0083814,           0.0009721,             0.00208,             0.00208,             0.00208
                  82,            0.017526,            0.016304,           0.0023502,             0.98173,             0.98278,             0.99228,             0.84355,            0.010689,           0.0083682,          0.00096598,            0.001981,            0.001981,            0.001981
                  83,             0.01746,            0.016249,           0.0023768,             0.98126,             0.98287,             0.99233,             0.84348,            0.010668,           0.0083526,          0.00096011,            0.001882,            0.001882,            0.001882
                  84,            0.017384,             0.01622,           0.0023609,             0.98136,              0.9829,             0.99239,             0.84332,            0.010653,           0.0083384,          0.00095278,            0.001783,            0.001783,            0.001783
                  85,            0.017358,            0.016196,           0.0023133,             0.98157,             0.98269,             0.99238,              0.8439,            0.010635,           0.0083243,          0.00094641,            0.001684,            0.001684,            0.001684
                  86,            0.017271,            0.016029,           0.0022736,              0.9818,             0.98288,              0.9924,             0.84444,            0.010616,           0.0083084,          0.00093858,            0.001585,            0.001585,            0.001585
                  87,            0.017125,            0.015986,           0.0022872,              0.9818,             0.98288,             0.99245,             0.84458,            0.010604,           0.0082951,          0.00093141,            0.001486,            0.001486,            0.001486
                  88,            0.017135,            0.015929,           0.0023012,              0.9818,             0.98293,              0.9925,             0.84444,            0.010588,           0.0082828,          0.00092543,            0.001387,            0.001387,            0.001387
                  89,            0.017045,            0.015915,            0.002208,             0.98177,             0.98304,             0.99253,             0.84454,            0.010576,           0.0082718,          0.00091854,            0.001288,            0.001288,            0.001288
                  90,            0.016923,             0.01584,            0.002215,             0.98159,              0.9829,             0.99255,             0.84449,            0.010566,           0.0082616,          0.00091227,            0.001189,            0.001189,            0.001189
                  91,            0.016982,            0.015863,           0.0022237,             0.98323,             0.98197,             0.99255,             0.84416,            0.010551,           0.0082495,          0.00090601,             0.00109,             0.00109,             0.00109
                  92,            0.016896,            0.015829,           0.0021552,             0.98349,             0.98185,             0.99262,             0.84441,            0.010538,           0.0082381,          0.00090207,            0.000991,            0.000991,            0.000991
                  93,            0.016855,              0.0158,           0.0022226,             0.98338,             0.98189,              0.9926,             0.84446,            0.010523,           0.0082258,          0.00089701,            0.000892,            0.000892,            0.000892
                  94,             0.01678,              0.0157,           0.0021987,             0.98366,             0.98188,             0.99264,             0.84487,            0.010512,           0.0082137,          0.00089141,            0.000793,            0.000793,            0.000793
                  95,            0.016728,            0.015642,            0.002152,               0.984,             0.98196,             0.99263,             0.84464,            0.010505,           0.0082021,          0.00088547,            0.000694,            0.000694,            0.000694
                  96,            0.016662,            0.015625,           0.0021296,             0.98394,             0.98214,             0.99266,             0.84495,            0.010488,           0.0081893,          0.00087876,            0.000595,            0.000595,            0.000595
                  97,            0.016605,            0.015534,           0.0021261,             0.98399,             0.98259,             0.99269,             0.84502,            0.010465,            0.008175,          0.00087393,            0.000496,            0.000496,            0.000496
                  98,            0.016576,            0.015483,           0.0020374,             0.98397,             0.98275,              0.9927,             0.84571,            0.010442,           0.0081607,          0.00086739,            0.000397,            0.000397,            0.000397
                  99,            0.016458,            0.015465,           0.0021231,             0.98387,             0.98323,             0.99273,             0.84632,            0.010424,           0.0081497,          0.00085973,            0.000298,            0.000298,            0.000298
